SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,LOC
22021,1629029,22100853,2022-02-12,DAL vs. LAC,L,39,15,33,0.455,6,13,0.462,9,13,0.692,0,15,15,8,0,0,7,2,45,8,1,Home
22021,1629029,22100868,2022-02-15,DAL @ MIA,W,38,5,19,0.263,2,7,0.286,9,12,0.75,1,9,10,6,0,1,3,3,21,3,1,Away
22021,1629029,22100886,2022-02-17,DAL @ NOP,W,38,17,35,0.486,7,14,0.5,8,12,0.667,1,14,15,8,0,1,5,3,49,21,1,Away
22021,1629029,22100903,2022-02-25,DAL @ UTA,L,35,8,24,0.333,3,9,0.333,4,4,1.0,2,5,7,11,1,0,4,5,23,-16,1,Away
22021,1629029,22100917,2022-02-27,DAL @ GSW,W,37,10,21,0.476,3,9,0.333,11,12,0.917,1,10,11,2,2,1,9,2,34,-5,1,Away
22021,1629029,22100931,2022-03-01,DAL @ LAL,W,38,9,21,0.429,0,5,0.0,7,11,0.636,1,7,8,5,1,2,6,1,25,-4,1,Away
22021,1629029,22100943,2022-03-03,DAL vs. GSW,W,40,15,26,0.577,4,10,0.4,7,9,0.778,2,8,10,9,2,0,6,1,41,8,1,Home
22021,1629029,22100972,2022-03-07,DAL vs. UTA,W,38,12,23,0.522,5,11,0.455,6,7,0.857,1,15,16,7,3,1,3,3,35,5,1,Home
22021,1629029,22100988,2022-03-09,DAL vs. NYK,L,34,12,25,0.48,3,11,0.273,4,7,0.571,3,3,6,4,1,1,2,3,31,-19,1,Home
22021,1629029,22100999,2022-03-11,DAL @ HOU,W,36,9,19,0.474,5,11,0.455,7,10,0.7,1,13,14,6,0,2,5,1,30,16,1,Away
22021,1629029,22101014,2022-03-13,DAL @ BOS,W,39,8,16,0.5,4,10,0.4,6,6,1.0,0,8,8,8,3,0,5,0,26,7,1,Away
22021,1629029,22101036,2022-03-16,DAL @ BKN,W,39,14,26,0.538,5,12,0.417,4,4,1.0,0,9,9,9,2,1,4,2,37,-4,1,Away
22021,1629029,22101046,2022-03-18,DAL @ PHI,L,35,5,20,0.25,2,10,0.2,5,9,0.556,1,6,7,10,0,1,6,0,17,-15,1,Away
22021,1629029,22101059,2022-03-19,DAL @ CHA,L,30,13,20,0.65,8,12,0.667,3,5,0.6,0,4,4,3,0,0,4,2,37,-30,1,Away
22021,1629029,22101079,2022-03-21,DAL vs. MIN,W,38,5,17,0.294,3,11,0.273,2,4,0.5,0,6,6,10,1,0,8,4,15,-7,1,Home
